1,2-dipalmitoilofosfatydylocholina	C0000039	Pharmacologic Substance
Dipalmitoilolecytyna	C0000039	Pharmacologic Substance
Glikozylotransferaza rozgałęzień alfa glukanu	C0000052	Enzyme
Q-enzym	C0000052	Enzyme
Enzym rozgałęziający glikogen	C0000052	Enzyme
Kwas 1-karboksyglutaminowy	C0000084	Biologically Active Substance
1-metylo-3-izobutyloksantyna	C0000096	Pharmacologic Substance
1-metylo-4-fenylo-1,2,3,6-tetrahydropirydyna	C0000097	Hazardous or Poisonous Substance
MPTP	C0000097	Hazardous or Poisonous Substance
1-metylo-4-fenylopirydyna	C0000098	Hazardous or Poisonous Substance
1-aminonaftalen	C0000102	Hazardous or Poisonous Substance
1-naftyloamina	C0000102	Hazardous or Poisonous Substance
1-naftyloizotiocyjanian	C0000103	Hazardous or Poisonous Substance
Alfa-naftyloizotiocyjanian	C0000103	Hazardous or Poisonous Substance
1-sarkozyno-8-izoleucyno angiotensyna II	C0000107	Pharmacologic Substance
11-hydroksykortykosteroidy	C0000119	Hormone
16,16-dimetyloprostaglandyna E2	C0000139	Pharmacologic Substance
Ester metylowy 16,16-dimetyloprotaglandyny E2	C0000139	Pharmacologic Substance
Dimetylodinoproston	C0000139	Pharmacologic Substance
17-hydroksykortykosteroidy	C0000163	Hormone
Dehydrogenazy 17-hydroksysteroidowe	C0000165	Enzyme
17-ketosteroidy	C0000167	Hormone
18-hydroksykortykosteron	C0000172	Pharmacologic Substance
18-hydroksydezoksykortykosteron	C0000173	Pharmacologic Substance
19-jodocholesterol	C0000176	Indicator, Reagent, or Diagnostic Aid
Fosfodiesterazy 2,3-cyklicznego nukleotydu	C0000184	Enzyme
Fosfodiesteraza 2,3-cyklicznego nukleotydu	C0000184	Enzyme
Fosfodwuesteraza 2,3-cyklicznego nukleotydu	C0000184	Enzyme
Syntetaza 2',5'-oligoadenylanowa	C0000189	Enzyme
2,2,-dipirydyl	C0000194	Indicator, Reagent, or Diagnostic Aid
Alpha-alpha dipyrydil	C0000194	Indicator, Reagent, or Diagnostic Aid
2,2-dwupirydyl	C0000194	Indicator, Reagent, or Diagnostic Aid
Kwas 2,3-diketogulonowy	C0000204	Organic Chemical
Kwas 2,3-dwuketogulonowy	C0000204	Organic Chemical
Kwas 2,4,5-trichlorofenoksyoctowy	C0000215	Hazardous or Poisonous Substance
Kwas 2,4,5-trójchlorofenoksyoctowy	C0000215	Hazardous or Poisonous Substance
Kwas 2,4-dichlorofenoksyoctowy	C0000220	Hazardous or Poisonous Substance
Kwas 2,4-dwuchlorofenoksyoctowy	C0000220	Hazardous or Poisonous Substance
2,6-dichloroindofenol	C0000232	Indicator, Reagent, or Diagnostic Aid
Odczynnik Tillmansa	C0000232	Indicator, Reagent, or Diagnostic Aid
2,6-dwuchloroindofenol	C0000232	Indicator, Reagent, or Diagnostic Aid
Mutaza 2-acetomleczanowa	C0000246	Enzyme
Izomeroreduktaza kwasu hydroksyoctowego	C0000246	Enzyme
2-acetyloaminofluoren	C0000248	Hazardous or Poisonous Substance
2-amino-5-fosfonowalerianian	C0000254	Pharmacologic Substance
Antagonista receptora N-metylo-asparaginowego	C0000254	Pharmacologic Substance
Kwas 2-aminoadypinowy	C0000257	Biologically Active Substance
2-aminopuryna	C0000263	Pharmacologic Substance
2-chloroadenozyna	C0000275	Pharmacologic Substance
Bromek 2-hydroksy-5-nitrobenzylu	C0000287	Indicator, Reagent, or Diagnostic Aid
2-hydroksyfenetyloamina	C0000289	Biologically Active Substance
Syntaza 2-izopropylojabłczanowa	C0000291	Enzyme
Mesna	C0000294	Pharmacologic Substance
2-merkaptoetylosulfonian	C0000294	Pharmacologic Substance
2-aminonaftalen	C0000300	Hazardous or Poisonous Substance
Dehydrogenazy 20-hydroksysteroidowe	C0000324	Enzyme
24,25-dihydroksywitamina D3	C0000334	Vitamin
24,25-dihydroxycholekalcyferol	C0000334	Vitamin
1-hydroksylaza 25-hydroksycholekalcyferolu	C0000340	Enzyme
25-hydroksywitamina D2	C0000343	Vitamin
25-hydroksyergokalcyferol	C0000343	Vitamin
Fosfodiesterazy 3',5'-cyklicznego AMP	C0000359	Enzyme
Fosfodiesteraza cAMP	C0000359	Enzyme
Fosfodiesterazy 3',5'-cyklicznego GMP	C0000360	Enzyme
3,3-diaminobenzydyna	C0000368	Indicator, Reagent, or Diagnostic Aid
3,3-dwuaminobenzydyna	C0000368	Indicator, Reagent, or Diagnostic Aid
3,3-dichlorobenzydyna	C0000370	Hazardous or Poisonous Substance
3,3-dwuchlorobenzydyna	C0000370	Hazardous or Poisonous Substance
Kwas 3,4-dihydroksyfenylooctowy	C0000376	Biologically Active Substance
Kwas 3,4-dwuhydroksyfenylooctowy	C0000376	Biologically Active Substance
Droksydopa	C0000378	Biologically Active Substance
3,4-dihydroksyfenyloseryna	C0000378	Biologically Active Substance
2,3-dwuhydroksyfenyloseryna	C0000378	Biologically Active Substance
3,4-metylenodioksyamfetamina	C0000379	Hazardous or Poisonous Substance
Beta-alanina	C0000392	Biologically Active Substance
Kwas 3-aminopropionowy	C0000392	Biologically Active Substance
3-dezaurydyna	C0000399	Pharmacologic Substance
Meglutol	C0000402	Pharmacologic Substance
Kwas 3-hydroksy-3-metyloglutarowy	C0000402	Pharmacologic Substance
Dehydrogenazy 3-hydroksyacylo-CoA	C0000404	Enzyme
Kwas 3-hydroksyantranilowy	C0000407	Hazardous or Poisonous Substance
Dehydrogenazy 3-hydroksysteroidowe	C0000413	Enzyme
Kwas 3-merkaptopropionowy	C0000424	Pharmacologic Substance
3-metoksy-4-hydroksyfenyloetanol	C0000427	Biologically Active Substance
3-oksyacylo-(acylo-białko transportujące)syntaza	C0000435	Enzyme
Kwas 4-aminobenzoesowy	C0000473	Vitamin
Pabacyd	C0000473	Vitamin
Kwas p-aminobenzoesowy	C0000473	Vitamin
Witamina h1	C0000473	Vitamin
4-aminopirydyna	C0000477	Pharmacologic Substance
4-butyrolakton	C0000481	Pharmacologic Substance
N-tlenek-4-hydroksyaminocholiny	C0000498	Hazardous or Poisonous Substance
3-monooksygenaza kwasu 4-hydroksybenzoesowego	C0000500	Enzyme
4-hydroksykumaryny pochodne	C0000506	Pharmacologic Substance
Dioksygenaza 4-hydroksyfenylopirogronianu	C0000507	Enzyme
Dwuoksygenaza p-hydroksyfenylopirogronianu	C0000507	Enzyme
N-tlenek-4-nitrochinoliny	C0000511	Hazardous or Poisonous Substance
5-nukleotydaza	C0000530	Immunologic Factor
5,6-dihydroksytryptamina	C0000543	Pharmacologic Substance
5,6-dwuhydroksytryptamina	C0000543	Pharmacologic Substance
5,7-dihydroksytryptamina	C0000544	Pharmacologic Substance
5,7-dwuhydroksytryptamina	C0000544	Pharmacologic Substance
Kwas eikozapentaenowy	C0000545	Biologically Active Substance
Kwas 5,8,11,14-eikozatetraenowy	C0000546	Pharmacologic Substance
Androstano-3,17-diol	C0000551	Hormone
5-Hydroksytryptofan	C0000578	Biologically Active Substance
5-HTP	C0000578	Biologically Active Substance
5-metoksytryptamina	C0000589	Pharmacologic Substance
Kwas aminokapronowy	C0000608	Pharmacologic Substance
Kwas heksanowy	C0000608	Pharmacologic Substance
6-aminonikotynamid	C0000610	Vitamin
6-ketoprostaglandyna F1 alfa	C0000617	Organic Chemical
Merkaptopuryna	C0000618	Pharmacologic Substance
6-merkaptopuryna	C0000618	Pharmacologic Substance
9,10-tlenek-7,8-dihydro-7,8-dihydroksybenzo(a)pirenu	C0000641	Hazardous or Poisonous Substance
Tlenek-7,8-dihydro-7,8-dihydroksybenzo(a)pirenu-9,10	C0000641	Hazardous or Poisonous Substance
O-dealkilaza 7-alkoksykumarynowa	C0000644	Enzyme
Kwas 8,11,14-eikozatrienowy	C0000658	Organic Chemical
8-bromoadenozynomonofosforan cykliczny	C0000661	Pharmacologic Substance
Oksychinolina	C0000665	Indicator, Reagent, or Diagnostic Aid
8-hydroksychinolina	C0000665	Indicator, Reagent, or Diagnostic Aid
Chinosol	C0000665	Indicator, Reagent, or Diagnostic Aid
9,10-dimetylo-1,2-benzoantracen	C0000677	Hazardous or Poisonous Substance
7,12-dwumetylobenzoantracen	C0000677	Hazardous or Poisonous Substance
9,10-dwumetylo-1,2-benzoantracen	C0000677	Hazardous or Poisonous Substance
7,12-dimetylobenzoantracen	C0000677	Hazardous or Poisonous Substance
Kalcymycyna	C0000699	Antibiotic
A-23187	C0000699	Antibiotic
Forma A DNA	C0000702	Biologically Active Substance
Temefos	C0000714	Hazardous or Poisonous Substance
Abate	C0000714	Hazardous or Poisonous Substance
Rzeźnie	C0000715	Manufactured Object
Skala urazów skrócona	C0000722	Intellectual Product
Skróty-typ publikacji	C0000723	Intellectual Product
Brzuch	C0000726	Body Location or Region
Narządy jamy brzusznej	C0000726	Body Location or Region
Brzuch ostry	C0000727	Sign or Symptom
Zespół ostrego brzucha	C0000727	Sign or Symptom
Ostry brzuch	C0000727	Sign or Symptom
Nowotwory brzucha	C0000735	Neoplastic Process
Ból brzucha	C0000737	Sign or Symptom
Mięśnie brzucha	C0000739	Body Part, Organ, or Organ Component
Nerw odwodzący	C0000741	Body Part, Organ, or Organ Component
Nerw VI	C0000741	Body Part, Organ, or Organ Component
Wirus białaczki Abelsona myszy	C0000742	Virus
Abetalipoproteinemia	C0000744	Disease or Syndrome
Zespół Kornzweiga-Bassena	C0000744	Disease or Syndrome
Wady wrodzone	C0000768	Congenital Abnormality
Defekty wrodzone	C0000768	Congenital Abnormality
Rozwojowe wady wrodzone	C0000768	Congenital Abnormality
Nieprawidłowości wrodzone	C0000768	Congenital Abnormality
Wady wrodzone polekowe	C0000771	Congenital Abnormality
Wady wrodzone mnogie	C0000772	Congenital Abnormality
Wady wrodzone popromienne	C0000773	Injury or Poisoning
Wady wrodzone wywołane promieniowaniem	C0000773	Injury or Poisoning
Wrodzone wady popromienne	C0000773	Injury or Poisoning
Układ grupowy ABO	C0000778	Classification
Czynnik ABO	C0000778	Classification
Trawieniec	C0000780	Body Part, Organ, or Organ Component
Płód poroniony	C0000781	Embryonic Structure
Środki poronne	C0000782	Pharmacologic Substance
Środki poronne niesteroidowe	C0000783	Pharmacologic Substance
Środki poronne steroidowe	C0000784	Pharmacologic Substance
Poronienie samoistne	C0000786	Pathologic Function
Przerwanie ciąży samoistne	C0000786	Pathologic Function
Pacjentki przerywające ciążę	C0000788	Patient or Disabled Group
Poronienie kryminalne	C0000804	Finding
Poronienie nielegalne	C0000804	Finding
Poronienie wywołane kryminalne	C0000804	Finding
Przerwanie ciąży kryminalne	C0000804	Finding
Aborcja kryminalna	C0000804	Finding
Poronienie eugeniczne	C0000806	Therapeutic or Preventive Procedure
Poronienie nawykowe	C0000809	Disease or Syndrome
Poronienie niezupełne	C0000810	Pathologic Function
Poronienie niekompletne	C0000810	Pathologic Function
Poronienie legalne	C0000812	Therapeutic or Preventive Procedure
Przerwanie ciąży legalne	C0000812	Therapeutic or Preventive Procedure
Poronienie wywołane legalne	C0000812	Therapeutic or Preventive Procedure
Aborcja legalna	C0000812	Therapeutic or Preventive Procedure
Poronienie zatrzymane	C0000814	Disease or Syndrome
