nadciśnienie płucny	ICD10:I27.0	22	25	Pierwotne nadciśnienie płucne
dysplazja oskrzelowo-płucnej	ICD10:P27.1	3	3	Dysplazja oskrzelowo-płucna rozpoczynająca się w okresie okołoporodowym
skrajny wcześniactwo 24 tydzień	ICD10:P07.2	3	3	Skrajne wcześniactwo
krwawień dokomorowym ii stopień	ICD10:P52.1	3	3	Dokomorowy (nieurazowy) krwotok, stopnia 2, u płodu i noworodka
krwawień oba półkula móżdżek	ICD10:P52.6	1	3	Krwotok (nieurazowy) do móżdżku i tylnego dołu czaszki u płodu i noworodka
retinopatia wcześniak	ICD10:H35.1	3	3	Retinopatia wcześniaków
zabieg resekcja jelito	ICD10:Z98.8	1	1	Inne określone stany po zabiegach chirurgicznych
wyłonienia stomii	ICD10:Z93	1	1	Stany związane z obecnością sztucznego otworu
niedrożność smółkowej	ICD10:P75*	2	3	Niedrożność smółkowa (E84.1†)
arytmia przedsionkowy	ICD10:I49.1	2	3	
ubytek w przegroda międzyprzedsionkowej typ foramen ovale	ICD10:Q21.1	3	3	Ubytek przegrody międzyprzedsionkowej
coa	ICD10:Q25.1	9	9	Zwężenie cieśni aorty
gerd	ICD10:K21.9	4	6	Zarzucanie żołądkowo-przełykowe bez zapalenia przełyku
uczulony	ICD10:Z91.0	6	7	Uczulenie na czynniki inne niż leki i substancje biologiczne w wywiadzie
wada wrodzony serce pod postać ubytek przegroda międzykomorowy	ICD10:Q21.0	6	6	Ubytek przegrody międzykomorowej
zabieg operacyjny	ICD10:Z98.8	3	15	Inne określone stany po zabiegach chirurgicznych
vsd	ICD10:Q21.0	8	8	Ubytek przegrody międzykomorowej
wywiad alergiczny	ICD10:T78.4	22	52	Alergia, nieokreślona
złożony forma częściowy nadsercowego spływ żyła płucny	ICD10:Q26.3	3	3	Częściowo nieprawidłowe ujście żył płucnych
zakończenie leczenie kardiochirurgiczny	ICD10:Z98.8	1	1	Inne określone stany po zabiegach chirurgicznych
wrodzony wada serce	ICD10:Q20	62	62	Wrodzone wady rozwojowe jam i połączeń sercowych
wrodzony wada serce - dwunapływowa komora	ICD10:Q20.4	2	3	Wejście obu dróg żylnych do jedynej komory
l-tga	ICD10:Q20.5	2	3	Nieprawidłowe połączenia przedsionkowo-komorowe
haa	ICD10:Q25.4	2	3	Inne wrodzone wady rozwojowe aorty
operacja norwooda	ICD10:Z98.8	3	9	Inne określone stany po zabiegach chirurgicznych
prawostronny zespolenie zespolenie systemowo-płucnym	ICD10:Z98.8	1	1	Inne określone stany po zabiegach chirurgicznych
sinica centralny	ICD10:R23.0	24	24	Sinica
hipoksja	ICD10:J96	1	3	Niewydolność oddechowa niesklasyfikowana gdzie indziej
ubytek w przegroda międzyprzedsionkowej typ secundum	ICD10:Q21.1	8	8	Ubytek przegrody międzyprzedsionkowej
asd ii	ICD10:Q21.1	19	19	Ubytek przegrody międzyprzedsionkowej
udar niedokrwiennym lewy półkula mózg	ICD10:I63.9	2	2	Zawał mózgu, nieokreślony
odruchowy niedowład połowiczy prawostronny	ICD10:G81	4	6	Porażenie połowicze
tętniak między przedsionkowy	ICD10:I25.3	2	3	Tętniak serca
zawała lewy półkula mózg	ICD10:I63.9	1	1	Zawał mózgu, nieokreślony
wrodzony wada serce pod postać zespół niedorozwój lewy serce	ICD10:Q23.4	20	20	Zespół niedorozwoju lewej części serca
hlhs	ICD10:Q23.4	35	35	Zespół niedorozwoju lewej części serca
leczenie operacyjny	ICD10:Z98.8	13	24	Inne określone stany po zabiegach chirurgicznych
