ID	NAZWA	NAZWA_DOD	SUBSTANCJE
RPL:1	Zoledronic acid Fresenius Kabi	Acidum zoledronicum	Acidum zoledronicum
RPL:2	Edelan	Mometasoni furoas	Mometasoni furoas
RPL:3	Nalgesin	Naproxenum natricum	Naproxenum natricum
RPL:4	Nalgesin Forte	Naproxenum natricum	Naproxenum natricum
RPL:8	Diprobase	Vaselinum album + Paraffinum liquidum
RPL:9	Amlozek	Amlodipinum	Amlodipini besilas
RPL:12	Proxacin 1%	Ciprofloxacinum	Ciprofloxacinum
RPL:25	Aprovel	Irbesartanum	Irbesartanum
RPL:29	Twinrix Adult	Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum	Vaccinum Hepatits A+B
RPL:31	AmBisome	Amphotericinum B	Amphotericinum B
RPL:35	Indapen SR	Indapamidum	Indapamidum
RPL:36	Xyrem	Natrii hydroxybutyras	sodium hydroxybuteras
RPL:39	Rulid	Roxithromycinum	Roxithromycinum
RPL:48	Zerit	Stavudinum	Stavudinum
RPL:50	Filgrastim Hexal	Filgrastimum	Filgrastimum
RPL:59	Exelon	Rivastigminum	Rivastigminum
RPL:60	Ursopol	Acidum ursodeoxycholicum	Acidum ursodeoxycholicum
RPL:61	Bronchicum T	Thymi extractum fluidum	Thymi extractum fluidum
RPL:62	Arthryl	Glucosamini sulfas + Lidocaini hydrochloridum	Glucosamini sulfas	Lidocaini hydrochloridum
RPL:65	NovoNorm	Repaglinidum	Repaglinidum
RPL:70	Flegamina Junior o smaku truskawkowym	Bromhexini hydrochloridum	Bromhexini hydrochloridum
RPL:72	Neomycinum Jelfa	Neomycini sulfas	Neomycini sulfas
RPL:73	Citocartin 100	Articaini hydrochloridum + Adrenalinum	Articaini hydrochloridum	Adrenalinum
RPL:76	Lacipil	Lacidipinum	Lacidipinum
RPL:80	Loratadyna Galena	Loratadinum	Loratadinum
RPL:81	Sortis 20	Atorvastatinum	Atorvastatinum calcicum
RPL:82	Tramal Retard 200	Tramadoli hydrochloridum	Tramadoli hydrochloridum
RPL:88	Imovane	Zopiclonum	Zopiclonum
RPL:92	Nootropil	Piracetamum	Piracetamum
RPL:93	Xanax SR	Alprazolamum	Alprazolamum
RPL:96	Zerit	Stavudinum	Stavudinum
RPL:98	Veral	Diclofenacum natricum	Diclofenacum natricum
RPL:99	Ifapidin	Ticlopidinum	Ticlopidini hydrochloridum
RPL:101	Pelogel	Wodny wyciąg borowinowy	Wodny wyciąg borowinowy
RPL:102	Lamitrin S	Lamotriginum	Lamotriginum
RPL:112	Cipramil	Citalopramum	Citalopramum
RPL:121	Clodivac	Vaccinum diphtheriae et tetani, antigenio minutum, adsorbatum Szczepionka przeciw błonicy i tężcowi, adsorbowana, o zmniejszonej zawartości antygenu	Toksoid tężcowy	Toksoid błoniczy
RPL:135	Singulair 5	Montelukastum	Montelukastum
RPL:143	Exelon	Rivastigminum	Rivastigminum
RPL:148	FANHDI	Zespół ludzkiego czynnika krzepnięcia VIII i ludzkiego czynnika von Willebranda	Ludzki VIII czynnik krzepnęcia krwi	Ludzki czynnik von Willebranda
RPL:149	Arthrotec	Diclofenacum natricum + Misoprostolum	Diclofenacum natricum	Misoprostolum
RPL:153	Bisocard	Bisoprololum	Bisoprololi fumaras
RPL:158	Coffepirine Tabletki od bólu głowy	Acidum acetylsalicylicum + Coffeinum	Acidum acetylsalicylicum	Coffeinum
RPL:162	Detimedac 100 mg	Dacarbazinum	Dacarbazinum
RPL:170	Oxycort A	Oxytetracyclinum + Hydrocortisoni acetas	Hydrocortisoni acetas	Oxytetracyclini hydrochloridum
RPL:173	Nicergolin	Nicergolinum	Nicergolinum
RPL:186	Bisocard	Bisoprololum	Bisoprololi fumaras
RPL:189	NovoSeven	Eptacogum alfa (activatum). Czynnik VII krzepnięcia krwi, rekombinowany, aktywowany	Factor VII coagulationis humanus
RPL:190	Zyrtec	Cetirizini dihydrochloridum	Cetirizini dihydrochloridum
RPL:199	Abaktal	Pefloxacinum	Pefloxacini mesylas
RPL:201	Abaktal	Pefloxacinum	Pefloxacinum
RPL:204	Bromocorn	Bromocriptinum	Bromocriptini mesylas
RPL:205	ABE	Acidum lacticum + Acidum salicylicum	Acidum lacticum	Acidum salicylicum
RPL:213	Detimedac 200 mg	Dacarbazinum	Dacarbazinum
RPL:214	Acard	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:215	ACC mini	Acetylcysteinum	Acetylcysteinum
RPL:216	ACC mini	Acetylcysteinum	Acetylcysteinum
RPL:217	ACC	Acetylcysteinum	Acetylcysteinum
RPL:220	ACC optima	Acetylcysteinum	Acetylcysteinum
RPL:222	Acecor	Acebutololum	Acebutololi hydrochloridum
RPL:224	Acenocumarol WZF	Acenocoumarolum	Acenocoumarolum
RPL:225	Acenol	Paracetamolum	Paracetamolum
RPL:227	Acenol Forte	Paracetamolum	Paracetamolum
RPL:228	Acerin	Acidum salicylicum + Acidum lacticum	Acidum lacticum	Acidum salicylicum
RPL:229	Acesan	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:230	Acesan	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:231	Acesan	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:240	Acidum folicum Richter	Acidum folicum	Acidum folicum
RPL:241	Acidum folicum Richter	Acidum folicum	Acidum folicum
RPL:242	Acifungin forte	Preparat złożony	Acidum boricum	Acidum salicylicum	Acidum aceticum glaciale	Tanninum	Acidum gallicum	Methylis salicylas
RPL:243	Acifungin	Preparat złożony	Acidum boricum	Acidum salicylicum	Acidum aceticum glaciale	Tanninum	Acidum gallicum	Methylis salicylas
RPL:244	Aclotin	Ticlopidini hydrochloridum	Ticlopidini hydrochloridum
RPL:249	Telux	Imatinibum	Imatinibum
RPL:254	Acodin 150 Junior	Dexpanthenolum + Dextromethorphani hydrobromidum	Dexpanthenolum	Dextromethorphani hydrobromidum
RPL:255	Acodin Duo	Dexpanthenolum + Dextromethorphani hydrobromidum	Dexpanthenolum	Dextromethorphani hydrobromidum
RPL:257	Actilyse 10	Alteplasum	Alteplasum
RPL:258	Actilyse 20	Alteplasum	Alteplasum
RPL:259	Vaminolact	Preparat złożony
RPL:261	Erdomed	Erdosteinum	Erdosteinum
RPL:262	Actilyse 50	Alteplasum	Alteplasum
RPL:276	Adavin	Nicergolinum	Nicergolinum
RPL:279	Addamel N	Roztwór pierwiastków śladowych	Roztwór pierwiastków śladowych
RPL:281	Addiphos	Kalii dihydrogenophosphas + Natrii hydrogenophosphas + Kalii hydroxidum	Kalii dihydrogenophosphas	Kalii hydroxydum	Natrii hydrophosphas
RPL:296	Ascorvita	Acidum ascorbicum	Acidum ascorbicum
RPL:298	Adenocor	Adenosinum	Adenosinum
RPL:304	Afronis	Preparat złożony	Acidum boricum	Levomentholum	Resorcinolum	Thymolum
RPL:306	Adriblastina R.D.	Doxorubicini hydrochloridum	Doxorubicini hydrochloridum
RPL:307	Adriblastina R.D.	Doxorubicini hydrochloridum	Doxorubicini hydrochloridum
RPL:311	Aescin	Escinum	Escinum
RPL:312	Aescin	Escinum + Diethylamini salicylas + Heparinum	Diethylamini salicylas	Escinum	Heparinum natricum
RPL:314	Aesculan	Hippocastani corticis extractum siccum + Lidocaini hydrochloridum	Hippocastani corticis extractum siccum	Lidocaini hydrochloridum
RPL:316	Aethylum chloratum Filofarm	Ethylis chloridum	Ethylis chloridum
RPL:318	Aflegan	Ambroxoli hydrochloridum	Ambroxoli hydrochloridum
RPL:322	Afrin	Oxymetazolini hydrochloridum	Oxymetazolini hydrochloridum
RPL:324	Agapurin	Pentoxifyllinum	Pentoxifyllinum
RPL:328	Agiolax	Plantaginis ovatae semen et testa + Sennae angustifoliae fructus	Sennae fructus	Plantaginis ovatae semen	Plantaginis ovatae semen
RPL:338	Akineton	Biperideni hydrochloridum	Biperideni lactas
RPL:339	Akineton	Biperideni hydrochloridum	Biperideni hydrochloridum
RPL:341	Aknemycin	Erythromycinum	Erythromycinum
RPL:342	Aknemycin	Erythromycinum	Erythromycinum
RPL:343	Akneroxid 10	Benzoylis peroxidum	Benzoylis peroxydum
RPL:344	Akneroxid 5	Benzoylis peroxidum	Benzoylis peroxydum
RPL:347	Aksoderm	Retinoli palmitas	Retinoli palmitas
RPL:349	Alantan-Plus	Allantoinum + Dexpanthenolum	Allantoinum	Dexpanthenolum
RPL:350	Alantan-Plus	Allantoinum + Dexpanthenolum	Allantoinum	Dexpanthenolum
RPL:351	Alantavit	Allantoinum + Cholecalciferolum + Retinolum	Allantoinum	Vitaminum A	cholekalcyferol
RPL:359	Cipropol	Ciprofloxacinum	Ciprofloxacini hydrochloridum
RPL:364	Alcaine	Proxymetacaini hydrochloridum	Proxymetacaini hydrochloridum
RPL:365	Alcep	Allii cepae extractum	Allii cepae extractum
RPL:367	Aldactone	Kalii canrenoas	Kalii canrenoas
RPL:375	Alexan	Cytarabinum	Cytarabinum
RPL:377	Alexan	Cytarabinum	Cytarabinum
RPL:382	Parlodel	Bromocriptinum
RPL:391	Alka-Prim	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:392	Alka-Seltzer	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:393	Alkeran	Melphalanum	Melphalanum
RPL:395	Tysabri	Natalizumabum	Natalizumabum
RPL:397	Allergovit	Alergoidy pyłków roślin	Pojedyncze alergoidy pyłków roślin
RPL:399	Roztwory do testów punktowych	Wyciągi alergenowe
RPL:400	Alliofil	Allii sativi bulbus + Urticae folium	Urticae folium	Allii sativi bulbus
RPL:412	Allupol	Allopurinolum	Allopurinolum
RPL:416	Alfadiol	Alfacalcidolum	Alfacalcidolum
RPL:417	Alfadiol	Alfacalcidolum	Alfacalcidolum
RPL:418	Alpicort E	Prednisolonum + Estradiolum + Acidum salicylicum	Acidum salicylicum	Estradioli benzoas	Prednisolonum
RPL:419	Alpicort	Prednisolonum + Acidum salicylicum	Acidum salicylicum	Prednisolonum
RPL:423	Analgol	Preparat złożony	Camphorum	Mentholum	Juniperi fructus	Pini sylvestris aetheroleum	Terebinthini aetheroleum ab  pinum pinastrum
RPL:425	Altacet	Aluminii acetotartras	Aluminii acetotartras
RPL:431	Alugastrin	Dihydroxyaluminii natrii carbonas	Dihydroxyaluminii natrii carbonas
RPL:433	Alugastrin	Dihydroxyaluminii natrii carbonas	Dihydroxyaluminii natrii carbonas
RPL:434	Alumag	Aluminii hydroxidum + Magnesii hydroxidum	glinu tlenek uwodniony	Magnesii hydricum
RPL:435	Alumag	Aluminii hydroxidum + Magnesii hydroxidum	Aluminii hydroxidum	Magnesii hydricum
RPL:441	Alusal	Aluminii hydroxidum	Aluminii hydroxidum
RPL:442	Alusal	Aluminii hydroxidum	Aluminii hydroxidum
RPL:444	Androcur	Cyproteroni acetas	Cyproteroni acetas
RPL:445	Alutard SQ	Wyciągi alergenowe roztoczy kurzu domowego
RPL:456	Ambrohexal	Ambroxoli hydrochloridum	Ambroxoli hydrochloridum
RPL:458	Ambroksol Takeda	Ambroxoli hydrochloridum	Ambroxoli hydrochloridum
RPL:459	Ambroksol Takeda	Ambroxoli hydrochloridum	Ambroxoli hydrochloridum
RPL:460	Ambrosol Teva	Ambroxoli hydrochloridum	Ambroxoli hydrochloridum
RPL:479	Aminomel 10 E	Produkt złożony	Aminokwasy i elektrolity
RPL:481	Aminomel 12,5 E	Produkt złożony	Aminokwasy i elektrolity
