icd10;text
E00.0;Wrodzony zespół niedoboru jodu, typ neurologiczny
E00.1;Wrodzony zespół niedoboru jodu, typ obrzęku śluzowatego
E00.2;Wrodzony zespół niedoboru jodu, typ mieszany
E00.9;Wrodzony zespół niedoboru jodu, nieokreślony
E01.0;Rozlane (endemiczne) wole z powodu niedoboru jodu
E01.1;Wieloguzkowe (endemiczne) wole z powodu niedoboru jodu
E01.2;Wole z powodu niedoboru jodu (endemiczne), nieokreślone
E01.8;Inne choroby tarczycy z powodu niedoboru jodu i pokrewnych przyczyn
E02;Subkliniczna postać niedoczynności tarczycy z powodu niedoboru jodu
E03.0;Wrodzona niedoczynność tarczycy z wolem rozlanym
E03.1;Wrodzona niedoczynność tarczycy bez wola
E03.2;Niedoczynność tarczycy w wyniku zastosowanego leczenia lub innych egzogennych substancji
E03.3;Niedoczynność tarczycy po przebytej infekcji
E03.4;Zanik tarczycy (nabyty)
E03.5;Śpiączka w obrzęku śluzowatym
E03.8;Inne określone postacie niedoczynności tarczycy
E03.9;Niedoczynność tarczycy, nieokreślona
E04.0;Wole nietoksyczne, rozlane
E04.1;Guzek tarczycy pojedynczy, nietoksyczny
E04.2;Wole wieloguzkowe, nietoksyczne
E04.8;Wole nietoksyczne, inne określone
E04.9;Wole nietoksyczne, nieokreślone
E05.0;Tyreotoksykoza z rozlanym wolem
E05.1;Tyreotoksykoza z pojedynczym toksycznym guzkiem
E05.2;Tyreotoksykoza w wolem wieloguzkowym, toksycznym
E05.3;Tyrotoksykoza wywołana ektopowymi guzkami tkanki tarczycy
E05.4;Tyreotoksykoza wywołana sztucznie
E05.5;Przełom tarczycowy
E05.8;Inne tyreotoksykozy
E05.9;Tyreotoksykoza, nieokreślona
E06.0;Zapalenie tarczycy ostre
E06.1;Zapalenie tarczycy podostre
E06.2;Zapalenie tarczycy przewlekle z przemijającą tyreotoksykozą
E06.3;Zapalenie tarczycy autoimmunologiczne
E06.4;Zapalenie tarczycy polekowe
E06.5;Zapalenia tarczycy przewlekłe, inne
E06.9;Zapalenie tarczycy, nieokreślone
E07.0;Nadmierne wydzielanie kalcytoniny
E07.1;Wole związane z dyshormonozą
E07.8;Inne, określone choroby tarczycy
E07.9;Choroby tarczycy, nieokreślone
E10.0;Cukrzyca insulinozależna (ze śpiączką)
E10.1;Cukrzyca insulinozależna (z kwasicą ketonową)
E10.2;Cukrzyca insulinozależna (z powikłaniami nerkowymi)
E10.3;Cukrzyca insulinozależna (z powikłaniami ocznymi)
E10.4;Cukrzyca insulinozależna (z powikłaniami neurologicznymi)
E10.5;Cukrzyca insulinozależna (z powikłaniami w zakresie krążenia obwodowego)
E10.6;Cukrzyca insulinozależna (z innymi określonymi powikłaniami)
E10.7;Cukrzyca insulinozależna (z wieloma powikłaniami)
E10.8;Cukrzyca insulinozależna (z nieokreślonymi powikłaniami)
E10.9;Cukrzyca insulinozależna (bez powikłań)
E11.0;Cukrzyca insulinoniezależna (ze śpiączką)
E11.1;Cukrzyca insulinoniezależna (z kwasicą ketonową)
E11.2;Cukrzyca insulinoniezależna (z powikłaniami nerkowymi)
E11.3;Cukrzyca insulinoniezależna (z powikłaniami ocznymi)
E11.4;Cukrzyca insulinoniezależna (z powikłaniami neurologicznymi)
E11.5;Cukrzyca insulinoniezależna (z powikłaniami w zAKRESIE KRAŻENIA OBwODOwEGO)
E11.6;Cukrzyca insulinoniezależna (z innymi określonymi powikłaniami)
E11.7;Cukrzyca insulinoniezależna (z wieloma powikłaniami)
E11.8;Cukrzyca insulinoniezależna (z nieokreślonymi powikłaniami)
E11.9;Cukrzyca insulinoniezależna (bez powikłań)
E12.0;Cukrzyca związana z niedożywieniem (ze śpiączką)
E12.1;Cukrzyca związana z niedożywieniem (z kwasicą ketonową)
E12.2;Cukrzyca związana z niedożywieniem (z powikłaniami nerkowymi)
E12.3;Cukrzyca związana z niedożywieniem (z powikłaniami ocznymi)
E12.4;Cukrzyca związana z niedożywieniem (z powikłaniami neurologicznymi)
E12.5;Cukrzyca związana z niedożywieniem (z powikłaniami w zakresie krążenia obwodowego)
E12.6;Cukrzyca związana z niedożywieniem (z innymi określonymi powikłaniami)
E12.7;Cukrzyca związana z niedożywieniem (z wieloma powikłaniami)
E12.8;Cukrzyca związana z niedożywieniem (z nieokreślonymi powikłaniami)
E12.9;Cukrzyca związana z niedożywieniem (bez powikłań)
E13.0;Inne określone postacie cukrzycy (ze śpiączką)
E13.1;Inne określone postacie cukrzycy (z kwasicą ketonową)
E13.2;Inne określone postacie cukrzycy (z powikłaniami nerkowymi)
E13.3;Inne określone postacie cukrzycy (z powikłaniami ocznymi)
E13.4;Inne określone postacie cukrzycy (z powikłaniami neurologicznymi)
E13.5;Inne określone postacie cukrzycy (z powikłaniami w zakresie krążenia obwodowego)
E13.6;Inne określone postacie cukrzycy (z innymi określonymi powikłaniami)
E13.7;Inne określone postacie cukrzycy (z wieloma powikłaniami)
