stabilny choroba wieñcowy	ICD10:I25.1	7	12	Choroba serca w przebiegu mia¿d¿ycy
cabg	ICD10:Z95.1	19	54	Obecnoœæ pomostów naczyniowych aortalno-wieñcowych omijaj¹cych typu bypass
nadciœnienie têtniczy	ICD10:I10	1622	1630	Nadciœnienie samoistne (pierwotne)
cukrzyca t1	ICD10:E10	3	3	Cukrzyca insulinozale¿na
hipercholesterolemia w trakt leczenie	ICD10:E78.0	17	17	Czysta hipercholesterolemia
nikotynizm	ICD10:Z72.0	453	526	U¿ywanie tytoniu
niedoczynnoœæ tarczyca w stadium eutyreozy	ICD10:E03.9	3	4	Niedoczynnoœæ tarczycy, nieokreœlona
refluks ¿o³¹dkowo-prze³ykowy	ICD10:K21	51	70	Choroba refluksowa ¿o³¹dkowo-prze³ykowa
kamica ¿ó³ciowy	ICD10:K80	8	9	Kamica ¿ó³ciowa
przewlek³y zapalenie trzustka	ICD10:K86.1	18	18	Inne postacie przewlek³ego zapalenia trzustki
wzw t a	ICD10:B15	2	2	Ostre wirusowe zapalenie w¹troby typu A
appendektomii	ICD10:Z98.8	59	181	Inne okreœlone stany po zabiegach chirurgicznych
histerektomia	ICD10:Z90.7	19	54	Nabyty brak narz¹dów p³ciowych
³agodny niedokrwistoœæ normocytowa	ICD10:D64.9	5	6	Niedokrwistoœæ, nieokreœlona
choroba zwyrodnieniowy staw krêgos³up odcinek szyjny	ICD10:M47.9	3	3	Zmiany zwyrodnieniowe krêgos³upa, nieokreœlone
daleki opieka w poradnia poz	ICD10:Z98.8	1	431	Inne okreœlone stany po zabiegach chirurgicznych
codzienny kontrola ciœnienie têtniczy	ICD10:I10	1	154	Nadciœnienie samoistne (pierwotne)
okresowo   wystêpowaæ   niski   wartoœæ   têtno	ICD10:R00.1	1	1	Bradykardia, nieokreœlona
obni¿onej   tolerancja   wysi³ek	ICD10:R53	10	13	Z³e samopoczucie i zmêczenie
minimalny   obrzêk   koñczyna   dolny	ICD10:R60.0	1	3	Obrzêk zlokalizowany
ozw nstemi	ICD10:I25.2	9	20	Przebyty zawa³ serca
wielonaczyniowy   choroba   wieñcowy	ICD10:I25.1	1	1	Choroba serca w przebiegu mia¿d¿ycy
niedoczynnoœæ   tarczyca	ICD10:E03.9	14	14	Niedoczynnoœæ tarczycy, nieokreœlona
reflux   ¿o³¹dkowy - prze³ykowy	ICD10:K21	2	3	Choroba refluksowa ¿o³¹dkowo-prze³ykowa
zas³abniêcia	ICD10:R55	681	838	Omdlenie i zapaœæ
omdlenie	ICD10:R55	777	778	Omdlenie i zapaœæ
krwawieñ	ICD10:R58	451	558	Krwotok niesklasyfikowany gdzie indziej
czarny   stolec	ICD10:K92.1	13	13	Stolce smo³owate
brunatny   wymiot	ICD10:K92.0	14	14	Wymioty krwawe
choroba   wrzodowy	ICD10:K27	5	5	Wrzód trawienny o nieokreœlonej lokalizacji
palenie   tytoñ	ICD10:Z72.0	24	24	U¿ywanie tytoniu
inny u¿ywka	ICD10:Z72	691	1098	Problemy zwi¹zane ze stylem ¿ycia
uczulenie	ICD10:Z88	621	1528	Uczulenia na leki, œrodki farmakologiczne i substancje biologiczne w wywiadzie
wzw ( + )	ICD10:B19	3	4	Nieokreœlone wirusowe zapalenie w¹troby
borelioza	ICD10:A69.2	1363	1369	Choroba z Lyme
( - )	ICD10:A16	1	1762	GruŸlica uk³adu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie
tbc	ICD10:A15	538	542	GruŸlica uk³adu oddechowego, potwierdzona bakteriologicznie i histologicznie
poreumatyczna niedomykalnoœæ zastawka mitralny ist	ICD10:I05.1	2	2	Niedomykalnoœæ reumatyczna zastawki mitralnej
szkarlatyna	ICD10:A38	7	7	Choroba zakaŸna wywo³ana przez Streptococcus pyogenes [p³onica]
hipercholestrolemia w trakt leczenie	ICD10:E78.0	1	1	Czysta hipercholesterolemia
podejrzenie choroba wieñcowy	ICD10:I25.1	4	6	Choroba serca w przebiegu mia¿d¿ycy
ha	ICD10:I10	498	498	Nadciœnienie samoistne (pierwotne)
hipercholestrolemi¹	ICD10:E78.0	6	6	Czysta hipercholesterolemia
niedomykalnoœæ mitralny	ICD10:I34.0	8	10	Niedomykalnoœæ zastawki mitralnej
wahanie rr ( 135/90-180/100mmhg )	ICD10:R03	1	3	Nieprawid³owy wynik pomiaru ciœnienia têtniczego krwi, bez rozpoznania
odczuwaæ miarowy praca serce ( skurcz dodatkowy )	ICD10:R00.2	1	1	
du¿y obrzêk podudzie	ICD10:R22	2	4	Umiejscowiony obrzêk, guzek, guz skóry i tkanki podskórnej
czarny stolec	ICD10:K92.1	552	553	Stolce smo³owate
brunatny wymiot	ICD10:K92.0	544	553	Wymioty krwawe
choroba wrzodowy	ICD10:K27	533	537	Wrzód trawienny o nieokreœlonej lokalizacji
dusznoœæ nocny	ICD10:R06.0	292	374	Dusznoœæ
obrzêk podudzie	ICD10:R22	153	342	Umiejscowiony obrzêk, guzek, guz skóry i tkanki podskórnej
ból w klatka piersiowy	ICD10:R07.4	481	579	Ból w klatce piersiowej, nieokreœlony
dm	ICD10:E14	224	328	Cukrzyca nieokreœlona
usuniêcie	ICD10:Z98.8	62	196	Inne okreœlone stany po zabiegach chirurgicznych
polipa macica	ICD10:N84.0	6	7	Polip trzonu macicy
palenie tytoñ	ICD10:Z72.0	945	1072	U¿ywanie tytoniu
uczulenie : na lek	ICD10:Z88	14	14	Uczulenia na leki, œrodki farmakologiczne i substancje biologiczne w wywiadzie
wzw	ICD10:B19	1124	1291	Nieokreœlone wirusowe zapalenie w¹troby
zapalenie miêsieñ sercowy	ICD10:I51.4	38	50	Zapalenie miêœnia sercowego, nieokreœlone
przejœciowy pogorszenie funkcja skurczowy lewy komora	ICD10:I50.9	1	2	Niewydolnoœæ serca, nieokreœlona
oty³oœæ i stopieñ	ICD10:E66.9	21	36	Oty³oœæ, nieokreœlona
przejœciowy spadek funkcja skurczowy lewy komora do 28 %	ICD10:I50.9	1	2	Niewydolnoœæ serca, nieokreœlona
